V1	Mix1_1	Placenta_1	Liver_1	Mix2_1	Placenta_2	Mix2_2	Liver_2	Placenta_3	Brain_1	Mix1_2	Brain_2	Mix2_3	Mix1_3	Liver_3
miR-4324	19	2	3	10	5	16	1	1	64	17	43	4	4	NA
miR-433-3p	10	5	NA	5	11	2	NA	10	25	7	7	5	3	NA
miR-433-5p	2	1	NA	NA	NA	NA	NA	NA	1	1	NA	1	NA	NA
miR-4449	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
miR-4454	26	5	9	20	6	15	7	14	55	17	26	12	18	8
miR-4484	3	NA	1	NA	NA	2	2	1	NA	NA	1	2	2	3
miR-4485	1	NA	NA	NA	NA	1	4	2	10	1	1	5	4	7
miR-4502	1	NA	NA	NA	NA	NA	NA	6	NA	2	NA	1	NA	NA
miR-450a-2-3p	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-450a-5p	9	8	NA	4	11	2	1	7	NA	15	1	2	4	NA
miR-450b-5p	2	4	NA	NA	4	2	NA	3	NA	NA	NA	NA	NA	NA
miR-451a	4165	4033	64	1120	3984	885	60	3245	745	2959	303	782	1272	56
miR-452-5p	14	15	NA	3	11	6	NA	7	NA	7	1	NA	3	NA
miR-4521	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-454-3p	24	9	1	7	12	10	1	9	31	11	13	5	8	1
miR-455-3p	54	36	46	29	23	30	32	28	126	56	46	11	22	28
miR-455-5p	11	8	3	4	7	3	5	6	19	7	6	9	5	3
miR-4655-5p	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-4662a-5p	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1
miR-4723-3p	1	NA	NA	NA	NA	NA	NA	NA	3	1	1	NA	NA	NA
miR-4728-3p	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-4747-3p	1	NA	NA	1	NA	NA	NA	2	1	1	NA	NA	NA	1
miR-4802-5p	1	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-483-3p	67	60	3	15	69	21	4	65	1	46	NA	14	34	2
miR-483-5p	13	13	1	2	18	NA	NA	16	2	4	NA	3	1	1
miR-484	72	22	16	40	33	31	15	47	163	47	73	33	26	10
miR-485-3p	9	5	NA	8	4	6	1	2	15	3	6	2	2	NA
miR-485-5p	1	1	NA	NA	1	1	NA	NA	1	4	3	1	NA	NA
miR-486-5p	36	31	NA	12	33	12	NA	35	30	21	26	5	14	NA
miR-487a-3p	14	14	NA	7	9	2	NA	10	12	12	7	4	1	NA
miR-487a-5p	1	2	NA	NA	1	NA	NA	2	2	1	1	NA	NA	NA
miR-487b-3p	82	30	3	43	35	36	NA	37	92	45	35	23	18	1
miR-488-3p	1	NA	NA	3	NA	4	NA	NA	5	NA	5	1	1	NA
miR-489-3p	7	3	NA	2	4	NA	NA	2	1	4	NA	1	2	NA
miR-490-3p	1	NA	NA	NA	NA	1	1	NA	4	1	2	NA	2	NA
miR-491-5p	1	NA	NA	1	NA	NA	NA	NA	10	NA	1	NA	2	NA
miR-493-3p	8	5	1	2	2	3	NA	6	2	2	1	1	1	NA
miR-493-5p	26	31	NA	8	35	7	1	28	2	32	NA	11	8	1
miR-494-3p	27	16	9	18	19	9	3	29	29	18	8	7	13	4
miR-495-3p	132	105	1	48	123	62	NA	88	120	91	44	39	36	NA
miR-497-3p	3	5	NA	1	2	2	2	3	4	5	2	NA	1	NA
miR-497-5p	52	10	36	36	11	57	33	15	224	46	97	33	28	23
miR-498	69	44	NA	19	48	11	NA	52	NA	40	NA	13	32	NA
miR-4999-5p	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-499a-5p	1	NA	1	2	NA	1	NA	NA	4	5	1	1	NA	NA
miR-499b-5p	1	NA	1	2	NA	1	NA	NA	4	5	1	1	NA	NA
miR-500a-3p	4	8	4	6	3	3	NA	5	10	4	5	1	3	NA
miR-500a-5p	6	4	2	5	4	3	1	6	7	4	2	NA	2	NA
miR-501-3p	2	3	NA	NA	1	NA	1	1	5	1	1	2	1	NA
miR-502-3p	6	11	4	6	4	3	1	6	15	5	6	3	4	NA
miR-502-5p	6	4	2	5	4	3	1	6	7	4	2	NA	2	NA
miR-503-5p	112	107	1	26	92	46	3	95	5	105	3	21	50	7
miR-505-3p	7	6	19	7	5	4	19	2	22	7	8	4	6	11
miR-505-5p	2	NA	NA	1	2	1	1	NA	3	NA	1	NA	NA	3
miR-509-5p	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-5095	1	NA	NA	NA	NA	1	NA	NA	3	NA	NA	NA	NA	NA
miR-5096	1	NA	1	1	NA	NA	NA	NA	2	NA	3	NA	NA	NA
miR-5100	3	1	1	3	NA	1	1	2	5	NA	NA	NA	1	5
miR-511-5p	1	2	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA
miR-512-3p	179	226	NA	51	208	48	NA	250	NA	155	NA	34	75	NA
miR-512-5p	392	569	NA	100	333	84	NA	480	1	236	NA	96	186	NA
miR-514a-3p	2	1	NA	NA	NA	NA	NA	1	28	NA	3	1	1	NA
miR-515-3p	317	307	NA	76	294	55	NA	340	NA	181	NA	29	81	NA
miR-515-5p	196	198	NA	43	163	46	NA	144	NA	130	NA	13	24	NA
miR-516a-5p	102	104	NA	20	43	17	NA	55	NA	42	NA	5	7	NA
miR-516b-5p	384	361	NA	89	282	103	NA	296	NA	236	NA	50	78	NA
miR-517-5p	5	8	NA	NA	14	6	NA	9	NA	6	NA	NA	1	NA
miR-517a-3p	4666	4258	NA	1163	4365	1056	NA	3661	3	3308	NA	848	1346	NA
miR-517b-3p	4363	3998	NA	1086	4138	1002	NA	3481	3	3138	NA	800	1272	NA
miR-517c-3p	470	459	NA	113	385	93	NA	321	NA	277	NA	67	115	NA
miR-518a-3p	139	106	NA	24	102	21	NA	118	NA	64	NA	8	29	NA
miR-518a-5p	188	273	NA	36	188	33	NA	157	NA	112	NA	32	62	NA
miR-518b	25	33	NA	14	27	5	NA	66	NA	12	NA	3	15	NA
miR-518c-3p	237	248	NA	70	214	44	NA	253	NA	123	NA	34	45	NA
miR-518c-5p	9	15	NA	3	9	NA	NA	10	NA	9	NA	NA	2	NA
miR-518d-3p	468	410	NA	114	429	112	NA	502	NA	283	NA	69	132	NA
miR-518d-5p	22	29	NA	9	10	3	NA	5	NA	15	NA	2	5	NA
miR-518e-3p	466	406	NA	118	440	116	NA	524	NA	293	NA	72	141	NA
miR-518e-5p	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
miR-518f-3p	240	249	NA	70	214	43	NA	250	NA	124	NA	34	44	NA
miR-518f-5p	98	122	NA	33	73	16	NA	69	NA	61	NA	3	17	NA
miR-519a-3p	783	882	NA	154	849	166	NA	644	NA	549	NA	123	225	NA
miR-519b-3p	673	737	NA	129	767	131	NA	558	NA	477	NA	113	211	NA
miR-519b-5p	82	120	NA	30	93	21	NA	113	1	74	NA	22	31	NA
miR-519c-3p	49	57	NA	13	68	5	NA	53	NA	39	NA	10	27	NA
miR-519c-5p	80	120	NA	30	93	21	NA	114	1	73	NA	22	31	NA
miR-519d-3p	793	622	NA	185	564	165	NA	643	NA	422	NA	88	119	NA
miR-519d-5p	206	232	NA	51	182	46	NA	156	NA	128	NA	20	34	NA
miR-519e-3p	68	48	NA	12	39	16	NA	39	NA	20	NA	5	14	NA
miR-519e-5p	192	195	1	44	157	46	NA	140	NA	130	NA	12	23	NA
miR-520a-3p	14	17	NA	3	16	3	NA	25	NA	13	NA	NA	4	NA
miR-520a-5p	53	74	NA	11	24	14	NA	37	NA	26	NA	3	6	NA
miR-520b	27	30	NA	12	20	5	NA	27	NA	20	NA	4	8	NA
miR-520c-3p	53	51	NA	13	36	7	NA	38	NA	24	NA	8	12	NA
miR-520c-5p	5	5	NA	1	1	1	NA	1	NA	2	NA	1	1	NA
miR-520d-3p	68	44	NA	17	65	18	NA	75	NA	55	NA	12	28	NA
miR-520d-5p	398	654	NA	118	339	94	NA	367	1	249	NA	71	106	NA
miR-520e	6	3	NA	1	5	1	NA	7	NA	5	NA	NA	NA	NA
miR-520f-3p	35	43	NA	10	30	6	NA	27	NA	15	NA	5	8	NA
miR-520g-3p	921	773	NA	224	708	198	NA	827	NA	562	NA	108	164	NA
miR-520g-5p	4	3	NA	2	3	NA	NA	5	NA	3	NA	NA	NA	NA
miR-520h	205	203	NA	60	184	43	NA	221	NA	172	NA	26	58	NA
miR-521	380	464	NA	69	374	63	NA	340	1	269	NA	65	122	NA
miR-522-3p	146	131	NA	54	185	43	NA	199	1	133	1	32	67	NA
miR-523-3p	90	68	NA	16	75	14	NA	99	NA	49	NA	12	29	NA
miR-524-3p	187	181	NA	33	136	28	NA	201	NA	102	NA	20	46	NA
miR-524-5p	421	671	NA	130	358	101	NA	378	NA	255	NA	75	114	NA
miR-525-3p	412	343	NA	75	317	67	NA	442	NA	220	NA	45	115	NA
miR-525-5p	239	327	NA	57	179	58	NA	182	NA	150	NA	11	36	NA
miR-526a	9	9	NA	1	4	1	NA	4	NA	5	NA	1	1	NA
miR-526b-3p	8	13	NA	5	14	3	NA	13	NA	11	NA	1	4	NA
miR-526b-5p	117	164	NA	31	91	26	NA	103	NA	66	NA	13	25	NA
miR-527	188	273	NA	36	188	33	NA	157	NA	112	NA	32	62	NA
miR-532-5p	1	1	1	1	1	NA	1	7	4	2	2	3	2	NA
miR-539-3p	3	6	NA	NA	3	1	NA	3	4	3	2	NA	1	NA
miR-539-5p	5	3	NA	1	5	1	NA	NA	19	4	6	3	3	NA
miR-542-3p	26	49	12	10	39	10	14	56	28	37	10	14	49	20
miR-542-5p	8	3	NA	2	4	2	NA	5	NA	6	NA	1	2	NA
miR-543	25	9	NA	5	15	8	NA	22	42	23	10	8	6	NA
miR-544a	1	3	NA	NA	1	NA	NA	NA	NA	1	2	NA	NA	NA
miR-545-3p	1	1	NA	NA	2	NA	NA	NA	NA	1	NA	NA	2	NA
miR-545-5p	3	1	NA	1	1	2	NA	3	NA	3	1	1	NA	NA
miR-548aa	1	1	NA	NA	1	NA	NA	NA	1	1	1	NA	NA	NA
miR-548t-3p	1	1	NA	NA	1	NA	NA	NA	1	1	1	NA	NA	NA
miR-551a	34	54	NA	7	32	13	NA	32	22	32	9	6	13	NA
miR-551b-3p	34	57	NA	7	33	15	NA	32	22	32	10	6	13	NA
miR-5589-3p	1	NA	NA	NA	NA	NA	3	NA	NA	1	NA	NA	NA	6
miR-570-3p	1	1	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	1
miR-574-3p	36	20	14	18	19	19	12	12	45	26	20	15	14	17
miR-574-5p	2	4	1	NA	2	NA	NA	3	3	2	2	2	3	2
miR-576-5p	3	1	NA	NA	NA	1	1	NA	NA	2	1	NA	NA	NA
miR-577	2	NA	NA	2	NA	2	NA	NA	18	2	5	6	NA	NA
miR-582-3p	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA
miR-582-5p	3	2	4	6	2	2	2	3	12	4	15	4	NA	2
miR-584-5p	11	6	NA	6	10	5	NA	15	15	8	10	2	1	NA
miR-589-5p	1	NA	NA	NA	NA	NA	NA	1	2	NA	NA	1	NA	NA
miR-590-3p	15	12	3	7	9	7	5	7	21	19	10	6	7	2
miR-590-5p	16	14	2	12	11	10	NA	9	14	12	8	3	7	7
miR-592	2	NA	NA	1	NA	NA	2	NA	3	1	1	NA	1	1
miR-598-3p	12	NA	NA	13	2	14	NA	NA	44	8	22	10	3	1
miR-616-5p	3	1	NA	1	NA	NA	1	NA	NA	1	NA	NA	1	NA
miR-624-5p	2	NA	NA	2	NA	NA	NA	2	1	2	3	1	3	NA
miR-625-3p	9	5	NA	3	7	1	1	7	24	12	5	4	2	2
miR-625-5p	23	18	1	14	16	13	NA	20	28	7	7	7	5	NA
miR-627-3p	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-628-5p	2	NA	1	1	NA	1	NA	1	15	1	1	1	NA	NA
miR-641	3	NA	NA	NA	1	NA	NA	1	3	NA	NA	1	NA	NA
miR-6503-5p	1	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	1
miR-6513-3p	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA
miR-6516-3p	2	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	1	NA
miR-652-3p	16	7	1	10	9	5	2	5	32	9	12	5	7	NA
miR-652-5p	4	4	NA	3	3	4	NA	2	6	3	4	2	NA	NA
miR-654-3p	19	14	NA	5	6	6	2	7	11	13	3	3	12	NA
miR-654-5p	1	NA	NA	NA	2	1	NA	NA	1	2	NA	1	2	NA
miR-655-3p	14	9	NA	3	7	2	NA	7	23	13	10	4	2	NA
miR-656-3p	2	NA	NA	4	2	1	NA	1	9	2	5	3	NA	NA
miR-660-3p	3	2	NA	1	2	NA	2	NA	NA	NA	NA	2	1	NA
miR-660-5p	80	127	14	30	61	33	8	44	64	71	30	18	31	7
miR-664a-3p	7	5	7	5	13	2	5	5	23	8	10	4	5	8
miR-664a-5p	1	1	2	1	1	1	NA	NA	1	NA	1	NA	NA	1
miR-664b-3p	1	NA	2	NA	2	NA	1	NA	1	3	1	NA	1	NA
miR-664b-5p	1	NA	1	NA	NA	NA	1	NA	NA	1	1	NA	1	NA
miR-665	7	6	1	1	4	3	NA	5	7	3	2	4	2	1
miR-668-3p	4	1	NA	NA	2	1	NA	10	14	NA	NA	NA	3	2
miR-671-3p	2	1	NA	NA	NA	1	NA	NA	3	NA	NA	NA	NA	NA
miR-671-5p	1	NA	NA	1	1	2	2	2	5	1	7	1	1	1
miR-6723-5p	2	NA	1	1	NA	2	2	NA	3	NA	1	NA	1	NA
miR-6724-5p	41	46	32	32	41	11	42	108	57	39	38	82	164	105
miR-6727-5p	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-675-3p	11	13	2	2	10	3	1	12	1	5	NA	1	4	2
miR-675-5p	5	4	NA	3	9	NA	1	15	NA	8	NA	2	3	NA
miR-6756-3p	1	NA	NA	NA	1	NA	NA	NA	2	NA	NA	NA	NA	NA
miR-6759-5p	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-6766-3p	2	NA	1	1	NA	NA	1	7	2	NA	1	NA	2	NA
miR-6798-3p	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-6823-5p	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-6858-5p	1	NA	NA	NA	NA	1	NA	1	2	NA	1	NA	NA	NA
miR-6863	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-7-1-3p	7	1	NA	8	1	2	1	NA	30	7	8	8	1	2
miR-7-2-3p	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
miR-7-5p	45	6	1	50	3	39	5	5	203	30	77	25	17	NA
miR-708-5p	13	NA	NA	10	NA	7	2	1	61	9	18	4	3	NA
miR-744-5p	19	9	5	11	5	11	5	1	50	12	36	15	9	2
miR-758-3p	2	NA	NA	1	3	3	NA	1	4	1	1	1	NA	NA
miR-758-5p	1	NA	NA	NA	NA	NA	NA	NA	6	1	1	1	NA	NA
miR-766-3p	2	1	NA	NA	1	4	NA	NA	10	2	3	1	NA	1
miR-769-3p	1	NA	NA	NA	NA	1	NA	NA	12	NA	1	2	3	NA
miR-769-5p	15	4	1	27	1	23	1	3	103	9	42	4	8	NA
miR-770-5p	2	NA	NA	2	1	3	NA	NA	7	2	10	3	NA	NA
miR-7843-5p	1	NA	NA	NA	NA	NA	NA	1	1	NA	NA	1	NA	NA
miR-7847-3p	1	NA	NA	NA	NA	NA	NA	1	1	1	NA	2	NA	NA
miR-873-5p	4	1	NA	5	NA	NA	NA	1	20	1	5	1	2	NA
miR-874-3p	1	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA
miR-874-5p	1	NA	NA	1	NA	4	NA	NA	5	2	6	2	NA	NA
miR-876-3p	2	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
miR-877-5p	3	1	NA	NA	NA	3	NA	2	6	3	NA	3	2	NA
miR-885-5p	35	NA	32	27	NA	25	23	NA	168	33	65	21	10	32
miR-887-3p	1	1	1	4	NA	2	1	1	5	1	4	1	1	NA
miR-889-3p	7	4	NA	2	1	1	NA	4	4	2	4	NA	1	NA
miR-9-3p	141	NA	NA	172	NA	178	NA	NA	833	114	376	98	42	NA
miR-9-5p	383	3	NA	511	1	439	NA	NA	2082	329	1056	311	124	NA
miR-92a-3p	36	17	12	24	22	16	29	26	70	40	35	32	30	28
miR-92b-3p	36	16	11	24	22	16	28	25	73	39	35	32	30	28
miR-92b-5p	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
miR-93-3p	2	2	2	2	1	NA	NA	NA	3	1	1	1	1	1
miR-93-5p	118	90	26	44	93	41	23	76	139	76	45	32	37	23
miR-934	16	10	NA	2	9	4	NA	5	NA	11	NA	4	5	NA
miR-935	2	NA	NA	4	NA	4	NA	NA	23	5	10	5	1	NA
miR-95-3p	9	1	3	11	NA	8	NA	NA	47	5	35	4	7	2
miR-98-3p	1	NA	NA	3	NA	1	NA	1	5	3	3	NA	2	1
miR-98-5p	36	7	5	27	7	27	2	2	129	31	50	17	12	3
miR-99a-3p	9	4	3	13	3	8	4	1	42	5	10	2	2	3
miR-99a-5p	597	325	171	346	343	287	167	338	1302	458	540	233	241	185
miR-99b-3p	1	4	NA	1	2	2	NA	4	9	1	2	1	NA	NA
miR-99b-5p	118	64	1	64	85	35	6	95	201	71	83	47	49	2
SO:unsorted	1	1	1	1	1	1	1	1	1	1	1	1	1	1
VN:2.2.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
miR-1180-3p	NA	1	NA	7	1	4	NA	NA	15	4	9	5	1	NA
miR-1247-3p	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-125b-1-3p	NA	1	NA	NA	NA	1	NA	1	1	NA	NA	1	NA	NA
miR-1269a	NA	2	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
miR-1269b	NA	2	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
miR-1271-3p	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-1291	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-135b-3p	NA	1	NA	NA	1	NA	NA	NA	1	NA	1	NA	NA	NA
miR-155-5p	NA	1	NA	NA	2	2	1	2	1	NA	2	1	1	NA
miR-192-3p	NA	1	7	1	NA	NA	4	NA	NA	1	NA	NA	1	5
miR-195-3p	NA	2	NA	NA	1	NA	NA	NA	1	NA	NA	NA	1	NA
miR-19b-1-5p	NA	1	1	NA	NA	NA	NA	NA	NA	1	1	NA	1	NA
miR-19b-2-5p	NA	1	1	NA	NA	NA	NA	NA	NA	1	1	NA	1	NA
miR-20a-3p	NA	1	NA	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA
miR-2115-5p	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-217	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
miR-26a-1-3p	NA	2	NA	1	NA	1	1	NA	NA	NA	NA	NA	NA	NA
miR-26a-2-3p	NA	2	NA	1	NA	1	1	NA	NA	NA	NA	NA	NA	NA
miR-26b-3p	NA	2	2	3	3	2	2	2	2	NA	NA	3	NA	NA
miR-302d-5p	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-329-5p	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
miR-346	NA	1	NA	1	NA	1	NA	NA	9	1	1	4	1	NA
miR-374a-3p	NA	1	NA	NA	NA	1	NA	NA	NA	1	1	NA	NA	NA
miR-3945	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-431-3p	NA	1	2	1	NA	NA	NA	NA	5	NA	NA	NA	NA	NA
miR-496	NA	6	NA	NA	2	1	NA	1	3	6	1	NA	2	NA
miR-503-3p	NA	1	1	NA	NA	1	NA	1	NA	1	NA	NA	NA	NA
miR-504-5p	NA	1	NA	1	NA	NA	NA	1	5	NA	2	3	NA	NA
miR-511-3p	NA	1	3	1	2	NA	1	1	NA	4	NA	NA	NA	NA
miR-514b-3p	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
miR-520f-5p	NA	2	NA	NA	1	1	NA	1	NA	NA	NA	NA	NA	NA
miR-532-3p	NA	1	NA	1	2	1	1	1	4	1	6	1	NA	NA
miR-548aq-5p	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
miR-548c-5p	NA	1	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	1
miR-548g-5p	NA	2	1	NA	NA	2	2	1	6	1	NA	2	NA	1
miR-548h-3p	NA	1	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA
miR-548o-5p	NA	1	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	1
miR-548x-5p	NA	2	1	NA	NA	2	2	1	6	1	NA	2	NA	1
miR-548y	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
miR-548z	NA	1	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA
miR-550a-3p	NA	3	1	2	1	NA	NA	NA	2	2	1	2	1	1
miR-550b-3p	NA	2	1	1	NA	NA	NA	NA	2	2	1	2	1	1
miR-561-5p	NA	1	NA	NA	NA	NA	NA	2	NA	3	NA	NA	NA	NA
miR-615-3p	NA	1	NA	NA	2	NA	NA	2	NA	NA	NA	NA	2	NA
miR-622	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-627-5p	NA	1	NA	2	1	1	2	NA	1	NA	NA	1	NA	NA
miR-629-5p	NA	3	NA	2	4	2	NA	4	1	4	NA	1	4	NA
miR-653-3p	NA	1	NA	NA	NA	NA	1	NA	1	1	NA	NA	NA	NA
miR-6715b-3p	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-6778-5p	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-6876-3p	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-6886-5p	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
let-7f-1-3p	NA	NA	2	NA	NA	1	NA	NA	7	NA	1	2	NA	2
miR-148a-5p	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1
miR-1972	NA	NA	1	1	NA	1	NA	NA	2	NA	NA	NA	NA	NA
miR-32-3p	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
miR-3685	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-375	NA	NA	3	2	2	1	3	1	NA	2	NA	1	1	2
miR-4662a-3p	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
miR-4686	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-5589-5p	NA	NA	1	1	NA	NA	2	NA	NA	1	NA	1	1	NA
miR-5699-5p	NA	NA	1	NA	NA	NA	NA	NA	2	NA	1	NA	NA	NA
miR-589-3p	NA	NA	1	1	NA	NA	NA	NA	NA	1	NA	1	NA	1
miR-642a-3p	NA	NA	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA
miR-642b-3p	NA	NA	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA
miR-651-5p	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-657	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-7107-5p	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-8089	NA	NA	1	NA	NA	NA	NA	NA	1	NA	1	NA	1	3
miR-885-3p	NA	NA	2	1	NA	NA	NA	NA	2	1	2	1	1	3
let-7c-3p	NA	NA	NA	1	NA	NA	NA	NA	2	NA	1	NA	NA	1
miR-1225-5p	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-1229-3p	NA	NA	NA	1	NA	NA	1	NA	1	1	NA	NA	NA	NA
miR-1250-5p	NA	NA	NA	1	NA	NA	NA	NA	2	NA	NA	NA	NA	NA
miR-1306-5p	NA	NA	NA	2	1	3	NA	2	3	2	9	2	1	NA
miR-138-2-3p	NA	NA	NA	2	NA	1	NA	NA	2	1	4	NA	1	NA
miR-139-3p	NA	NA	NA	1	NA	NA	2	NA	5	1	2	NA	NA	NA
miR-15a-3p	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-185-3p	NA	NA	NA	1	NA	1	NA	NA	NA	1	NA	NA	NA	NA
miR-296-3p	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-3167	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-3200-5p	NA	NA	NA	1	NA	NA	NA	NA	4	1	1	NA	NA	NA
miR-331-5p	NA	NA	NA	1	NA	NA	1	1	3	NA	NA	2	NA	NA
miR-34b-3p	NA	NA	NA	1	1	NA	NA	1	3	NA	NA	3	NA	NA
miR-3612	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-3618	NA	NA	NA	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA
miR-370-5p	NA	NA	NA	2	NA	NA	NA	2	NA	1	NA	NA	NA	NA
miR-412-5p	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-4259	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-4298	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-449a	NA	NA	NA	3	NA	1	NA	NA	1	NA	2	NA	NA	NA
miR-449b-5p	NA	NA	NA	3	NA	1	NA	NA	1	NA	2	NA	NA	NA
miR-4714-5p	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-491-3p	NA	NA	NA	1	NA	NA	NA	2	3	NA	NA	NA	NA	NA
miR-501-5p	NA	NA	NA	1	NA	2	NA	3	3	NA	NA	1	NA	1
miR-548q	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-579-3p	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-597-3p	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-598-5p	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA
miR-602	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-628-3p	NA	NA	NA	2	NA	2	NA	NA	7	NA	1	NA	1	NA
miR-6511a-3p	NA	NA	NA	1	NA	NA	1	NA	2	NA	1	NA	2	NA
miR-6511a-5p	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-6511b-3p	NA	NA	NA	1	NA	NA	1	NA	2	NA	NA	1	5	NA
miR-6511b-5p	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
